id	site_code	Site	plot_number	Year_est	Age	OS_location	Lat_long	Establishment	Cutting	Cattle	Sheep	Plough	pH_category	Age_category	shannon_entropy
GF177	NA	Stonehenge_2003_2017b	Q4	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	4.27285068115055
GF178	NA	Stonehenge_2003_2017b	Q7	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	5.72773553553766
GF179	NA	Stonehenge_2003_2017b	Q10	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.79164203321104
GF180	NA	Stonehenge_2003_2017b	Q13	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.11868982509515
GF181	8	Stonehenge_2009	Q1	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	6.57629135625842
GF182	NA	Stonehenge_2009	Q4	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	6.35833435283462
GF183	NA	Stonehenge_2009	Q7	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	6.41022695078286
GF184	NA	Stonehenge_2009	Q10	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	7.3260703353775
GF185	NA	Stonehenge_2009	Q13	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	7.04967873536722
GF186	9	Stonehenge_2007_2016	Q1	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.24504968835781
GF187	NA	Stonehenge_2007_2016	Q4	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	4.3657778687994
GF188	NA	Stonehenge_2007_2016	Q7	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.37969434919089
GF189	NA	Stonehenge_2007_2016	Q10	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.56909889822609
GF190	NA	Stonehenge_2007_2016	Q13	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	5.41904054969734
GF191	10	Stonehenge_2005	Q1	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	5.17862795413245
GF192	NA	Stonehenge_2005	Q4	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	5.67502621984605
GF193	NA	Stonehenge_2005	Q7	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	5.64563938749549
GF194	NA	Stonehenge_2005	Q10	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	6.30305456628592
GF195	NA	Stonehenge_2005	Q13	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	6.01845511523132
GF196	11	Stonehenge_2002_2017	Q1	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.11413240724396
GF197	NA	Stonehenge_2002_2017	Q4	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.82506618983645
GF198	NA	Stonehenge_2002_2017	Q7	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.65469716525898
GF199	NA	Stonehenge_2002_2017	Q10	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.68655358111411
GF200	NA	Stonehenge_2002_2017	Q13	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	6.64596094388628
GF201	12	Stonehenge_2010	Q1	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.64399325847709
GF202	NA	Stonehenge_2010	Q4	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	5.43950678136557
GF203	NA	Stonehenge_2010	Q7	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.71273955859889
GF204	NA	Stonehenge_2010	Q10	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.90669741369703
GF205	NA	Stonehenge_2010	Q13	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.13057415373579
GF206	13	Stonehenge_2011	Q1	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	7.13184136588469
GF207	NA	Stonehenge_2011	Q4	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	7.03963756624461
GF208	NA	Stonehenge_2011	Q7	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	6.41903842280734
GF209	NA	Stonehenge_2011	Q10	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	7.36218178803215
GF210	NA	Stonehenge_2011	Q13	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	5.8866071026912
GF211	14	Stonehenge_-_Luxenborough_BankB	Q1	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	5.55738203197739
GF212	NA	Stonehenge_-_Luxenborough_BankB	Q4	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	7.0225771489487
GF213	NA	Stonehenge_-_Luxenborough_BankB	Q7	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	6.88326658751418
GF214	NA	Stonehenge_-_Luxenborough_BankB	Q10	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	2.92248584003358
GF215	NA	Stonehenge_-_Luxenborough_BankB	Q13	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	6.48036115985544
GF216	15	Watlington_natural_reversion	Q1	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	6.43254340059521
GF217	NA	Watlington_natural_reversion	Q4	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	6.48076704441837
GF218	NA	Watlington_natural_reversion	Q7	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	6.55084425973822
GF219	NA	Watlington_natural_reversion	Q10	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	5.7253845727243
GF220	NA	Watlington_natural_reversion	Q13	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	4.96997149862085
GF221	16	St_Catherines_A3	Q1	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	5.79455667517261
GF222	NA	St_Catherines_A3	Q4	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	6.27552906731264
GF223	NA	St_Catherines_A3	Q7	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	5.96178986542198
GF224	NA	St_Catherines_A3	Q10	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	7.16646987570001
GF225	NA	St_Catherines_A3	Q13	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	6.79119193570421
GF226	17	HARLEY_FARMS_Chittern	Q1	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	4.97545809960933
GF227	NA	HARLEY_FARMS_Chittern	Q4	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	6.97912462452727
GF228	NA	HARLEY_FARMS_Chittern	Q7	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	6.56880808755582
GF229	NA	HARLEY_FARMS_Chittern	Q10	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	5.22302835818118
GF230	NA	HARLEY_FARMS_Chittern	Q13	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	6.30849567635118
GF231	18	HARLEY_FARMS_New1	Q1	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	5.74775385398863
GF232	NA	HARLEY_FARMS_New1	Q4	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	6.15588329402173
GF233	NA	HARLEY_FARMS_New1	Q7	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	4.75485905992044
GF234	NA	HARLEY_FARMS_New1	Q10	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	4.76760838348325
GF235	NA	HARLEY_FARMS_New1	Q13	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	6.35778918721469
GF236	19	HARLEY_FARMS_new2b	Q1	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	5.86202930880016
GF237	NA	HARLEY_FARMS_new2b	Q4	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	6.30197964762
GF238	NA	HARLEY_FARMS_new2b	Q7	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	6.11324192133941
GF239	NA	HARLEY_FARMS_new2b	Q10	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	6.37917297116947
GF240	NA	HARLEY_FARMS_new2b	Q13	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	5.77252630202626
GF242	NA	WINDMILL_farm	Q4	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.96310036616618
GF243	NA	WINDMILL_farm	Q7	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.93486372843463
GF244	NA	WINDMILL_farm	Q10	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.79732700349757
GF245	NA	WINDMILL_farm	Q13	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.61796974232085
GF246	21	DRUIDS	Q1	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.56703724960062
GF247	NA	DRUIDS	Q4	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	4.55129942116189
GF248	NA	DRUIDS	Q7	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.35759332659343
GF249	NA	DRUIDS	Q10	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.21620240268666
GF250	NA	DRUIDS	Q13	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	6.48858898751271
GF251	22	Stratton_Wood	Q1	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	5.52189267825258
GF252	NA	Stratton_Wood	Q4	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	6.14128633818623
GF253	NA	Stratton_Wood	Q7	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	4.29717518140914
GF254	NA	Stratton_Wood	Q10	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	6.03212341919539
GF255	NA	Stratton_Wood	Q13	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	5.81351453163385
GF256	23	WESTMEAD_FARM	Q1	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	6.33681869865045
GF257	NA	WESTMEAD_FARM	Q4	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	6.17822290683016
GF258	NA	WESTMEAD_FARM	Q7	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	6.73959971850713
GF259	NA	WESTMEAD_FARM	Q10	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	6.92606574603956
GF260	NA	WESTMEAD_FARM	Q13	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	5.93775213234019
GF261	24	RSPB_orig_green	Q1	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	3.93571719978812
GF262	NA	RSPB_orig_green	Q4	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	5.3504143994577
GF263	NA	RSPB_orig_green	Q7	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	5.988735776
GF264	NA	RSPB_orig_green	Q10	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	6.76402131607174
GF265	NA	RSPB_orig_green	Q13	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	4.95307195652172
GF266	25	RSPB_churchil	Q1	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	6.23969879278123
GF267	NA	RSPB_churchil	Q4	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.00558250578788
GF268	NA	RSPB_churchil	Q7	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.92603905323548
GF269	NA	RSPB_churchil	Q10	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.88779132753707
GF270	NA	RSPB_churchil	Q13	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	6.18449268990372
GF271	26	RSPB_junction	Q1	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.78884871404163
GF272	NA	RSPB_junction	Q4	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.83556334486395
GF273	NA	RSPB_junction	Q7	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.83309117904021
GF274	NA	RSPB_junction	Q10	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.48385682301621
GF275	NA	RSPB_junction	Q13	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	6.34331004047003
GF276	27	RSPB_Mainline	Q1	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.64163509540961
GF277	NA	RSPB_Mainline	Q4	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	4.97856501476925
GF278	NA	RSPB_Mainline	Q7	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	5.30004155073828
GF279	NA	RSPB_Mainline	Q10	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	4.82283921694199
GF280	NA	RSPB_Mainline	Q13	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	6.28833565133178
GF281	28	Baltic_farm_1	Q1	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	6.28176608964599
GF282	NA	Baltic_farm_1	Q4	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	6.96180355774874
GF283	NA	Baltic_farm_1	Q7	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	4.94259236097099
GF284	NA	Baltic_farm_1	Q10	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	6.04538147545062
GF285	NA	Baltic_farm_1	Q13	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	6.27955612499275
GF286	29	Baltic_farm_2	Q1	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	4.14482569054167
GF287	NA	Baltic_farm_2	Q4	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	3.3326574114698
GF288	NA	Baltic_farm_2	Q7	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	6.16670734986368
GF289	NA	Baltic_farm_2	Q10	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	3.29000818614793
GF291	30	WestEndFarm	Q1	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	2.90802984475254
GF292	NA	WestEndFarm	Q4	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	5.15521241365223
GF293	NA	WestEndFarm	Q7	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	4.09434288873062
GF294	NA	WestEndFarm	Q10	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	4.87883390777693
GF295	NA	WestEndFarm	Q13	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	4.30995341920986
GF296	31	HorntonHouseFarm_1_parallel	Q1	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	5.34358931141468
GF297	NA	HorntonHouseFarm_1_parallel	Q4	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	4.63299959157583
GF298	NA	HorntonHouseFarm_1_parallel	Q7	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	4.93945887155761
GF299	NA	HorntonHouseFarm_1_parallel	Q10	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	6.61614401159308
GF300	NA	HorntonHouseFarm_1_parallel	Q13	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	5.92761288009546
GF301	32	TownsendFarm_1	Q1	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	6.61708508685402
GF302	NA	TownsendFarm_1	Q4	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	5.22366134015408
GF303	NA	TownsendFarm_1	Q7	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	6.00897290307441
GF304	NA	TownsendFarm_1	Q10	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	5.05403241805194
GF305	NA	TownsendFarm_1	Q13	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	6.57223030569724
GF306	33	TownsendFarm_2	Q1	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	5.39574055192242
GF307	NA	TownsendFarm_2	Q4	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	6.52739925510989
GF308	NA	TownsendFarm_2	Q7	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	5.98372571373336
GF309	NA	TownsendFarm_2	Q10	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	6.5796948452106
GF310	NA	TownsendFarm_2	Q13	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	4.31077281735695
