id	site_code	Site	plot_number	Year_est	Age	OS_location	Lat_long	Establishment	Cutting	Cattle	Sheep	Plough	pH_category	Age_category	pielou_evenness
GF169	NA	Lardon_Chase_The_Holies_motorcycle	Q10	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	0.850526493594705
GF170	NA	Lardon_Chase_The_Holies_motorcycle	Q13	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	0.525222564207544
GF171	6	Stonehenge_2000_2017a	Q1	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.485424418057984
GF172	NA	Stonehenge_2000_2017a	Q4	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.568680960862121
GF173	NA	Stonehenge_2000_2017a	Q7	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.663667813871559
GF174	NA	Stonehenge_2000_2017a	Q10	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.579047307690687
GF175	NA	Stonehenge_2000_2017a	Q13	2000	21	SU1370042400	51.180671, -1.8053828	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.577798290180206
GF176	7	Stonehenge_2003_2017b	Q1	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.749648365883531
GF177	NA	Stonehenge_2003_2017b	Q4	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.479240521276376
GF178	NA	Stonehenge_2003_2017b	Q7	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.636415059504184
GF179	NA	Stonehenge_2003_2017b	Q10	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.724943945026436
GF180	NA	Stonehenge_2003_2017b	Q13	2003	18	SU1150041600	51.173525, -1.8368821	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.688599921493339
GF181	8	Stonehenge_2009	Q1	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	0.729111946907119
GF182	NA	Stonehenge_2009	Q4	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	0.705820584208965
GF183	NA	Stonehenge_2009	Q7	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	0.693152810882698
GF184	NA	Stonehenge_2009	Q10	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	0.770854868065214
GF185	NA	Stonehenge_2009	Q13	2009	12	SU1050041700	51.174443, -1.8511833	Green_hay_bush	No	No	Yes	Yes	Below_median	Below_median	0.74820953902557
GF186	9	Stonehenge_2007_2016	Q1	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.719518867116666
GF187	NA	Stonehenge_2007_2016	Q4	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.514600739032927
GF188	NA	Stonehenge_2007_2016	Q7	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.688621498829821
GF189	NA	Stonehenge_2007_2016	Q10	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.709065745419527
GF190	NA	Stonehenge_2007_2016	Q13	2007	14	SU1100041900	51.176233, -1.8440251	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.601365429601832
GF191	10	Stonehenge_2005	Q1	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	0.58524676540022
GF192	NA	Stonehenge_2005	Q4	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	0.630558468871783
GF193	NA	Stonehenge_2005	Q7	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	0.627489914973569
GF194	NA	Stonehenge_2005	Q10	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	0.675990188603933
GF195	NA	Stonehenge_2005	Q13	2005	16	SU1140042200	51.178922, -1.8382937	Green_hay_bush	No	No	Yes	Yes	Below_median	Above_median	0.655611624931846
GF196	11	Stonehenge_2002_2017	Q1	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.72068189217748
GF197	NA	Stonehenge_2002_2017	Q4	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.763215557074183
GF198	NA	Stonehenge_2002_2017	Q7	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.764869061891599
GF199	NA	Stonehenge_2002_2017	Q10	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.707481136755369
GF200	NA	Stonehenge_2002_2017	Q13	2002	19	SU1480043200	51.187837, -1.7896132	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Above_median	0.727164899854954
GF201	12	Stonehenge_2010	Q1	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.726543636957132
GF202	NA	Stonehenge_2010	Q4	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.60401216502552
GF203	NA	Stonehenge_2010	Q7	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.715196885705475
GF204	NA	Stonehenge_2010	Q10	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.737569211481089
GF205	NA	Stonehenge_2010	Q13	2010	11	SU1070043000	51.186129, -1.8482842	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.694311060230142
GF206	13	Stonehenge_2011	Q1	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.757608163362367
GF207	NA	Stonehenge_2011	Q4	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.756828516474797
GF208	NA	Stonehenge_2011	Q7	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.685172012121803
GF209	NA	Stonehenge_2011	Q10	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.778797315031347
GF210	NA	Stonehenge_2011	Q13	2011	10	SU1050043600	51.191528, -1.8511284	Green_hay_bush	No	Yes	Yes	Yes	Below_median	Below_median	0.649299491658097
GF211	14	Stonehenge_-_Luxenborough_BankB	Q1	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	0.598955898504538
GF212	NA	Stonehenge_-_Luxenborough_BankB	Q4	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	0.744012290834705
GF213	NA	Stonehenge_-_Luxenborough_BankB	Q7	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	0.73286136718724
GF214	NA	Stonehenge_-_Luxenborough_BankB	Q10	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	0.426143764777116
GF215	NA	Stonehenge_-_Luxenborough_BankB	Q13	2000	21	SU1290041900	51.176193, -1.8168457	Green_hay_bush	Yes	No	Yes	Yes	Below_median	Above_median	0.694671130716701
GF216	15	Watlington_natural_reversion	Q1	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	0.686135076838929
GF217	NA	Watlington_natural_reversion	Q4	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	0.711710098813116
GF218	NA	Watlington_natural_reversion	Q7	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	0.702395731269234
GF219	NA	Watlington_natural_reversion	Q10	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	0.628035163774922
GF220	NA	Watlington_natural_reversion	Q13	2000	21	SU7050293600	51.636798, -0.98266944	Natural_regen	No	No	Yes	No	Below_median	Above_median	0.540812446067692
GF221	16	St_Catherines_A3	Q1	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	0.626901179782339
GF222	NA	St_Catherines_A3	Q4	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	0.663558880366047
GF223	NA	St_Catherines_A3	Q7	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	0.646334430109508
GF224	NA	St_Catherines_A3	Q10	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	0.734654282185275
GF225	NA	St_Catherines_A3	Q13	1994	27	SU4812327449	51.044386, -1.3149275	Green_hay_bush	Yes	Yes	Yes	No	Below_median	Above_median	0.711063971049641
GF226	17	HARLEY_FARMS_Chittern	Q1	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	0.534385675388651
GF227	NA	HARLEY_FARMS_Chittern	Q4	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	0.738598246937618
GF228	NA	HARLEY_FARMS_Chittern	Q7	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	0.689459348301489
GF229	NA	HARLEY_FARMS_Chittern	Q10	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	0.571635486355644
GF230	NA	HARLEY_FARMS_Chittern	Q13	2013	8	ST9762044730	51.201778, -2.0354461	seed_mix	Yes	Yes	No	Yes	Below_median	Below_median	0.657908376263625
GF231	18	HARLEY_FARMS_New1	Q1	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	0.645971418857274
GF232	NA	HARLEY_FARMS_New1	Q4	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	0.680015135978447
GF233	NA	HARLEY_FARMS_New1	Q7	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	0.542490441610808
GF234	NA	HARLEY_FARMS_New1	Q10	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	0.541123616166288
GF235	NA	HARLEY_FARMS_New1	Q13	2020	1	ST9346829822	51.067692, -2.0945983	seed_mix	No	Yes	No	No	Below_median	Below_median	0.700236779793909
GF236	19	HARLEY_FARMS_new2b	Q1	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	0.660169418317666
GF237	NA	HARLEY_FARMS_new2b	Q4	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	0.716588769895809
GF238	NA	HARLEY_FARMS_new2b	Q7	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	0.702356347327964
GF239	NA	HARLEY_FARMS_new2b	Q10	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	0.720161058674477
GF240	NA	HARLEY_FARMS_new2b	Q13	2020	1	ST9242629613	51.065799, -2.1094648	seed_mix	Yes	No	No	No	Below_median	Below_median	0.657607152095257
GF242	NA	WINDMILL_farm	Q4	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.760174472998129
GF243	NA	WINDMILL_farm	Q7	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.766296108773628
GF244	NA	WINDMILL_farm	Q10	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.736724835338514
GF245	NA	WINDMILL_farm	Q13	1990	31	SU7176229761	51.06271, -0.97732036	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.741278487259472
GF246	21	DRUIDS	Q1	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.736555192210119
GF247	NA	DRUIDS	Q4	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.532030177028244
GF248	NA	DRUIDS	Q7	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.718483923362313
GF249	NA	DRUIDS	Q10	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.703003405346496
GF250	NA	DRUIDS	Q13	2002	19	SU2964250324	51.251319, -1.5766624	seed_mix	Yes	Yes	Yes	Yes	Below_median	Above_median	0.726066002875004
GF251	22	Stratton_Wood	Q1	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	0.635686679690236
GF252	NA	Stratton_Wood	Q4	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	0.723539359096533
GF253	NA	Stratton_Wood	Q7	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	0.517496223916134
GF254	NA	Stratton_Wood	Q10	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	0.69612112869536
GF255	NA	Stratton_Wood	Q13	1995	26	SU1647289260	51.601942, -1.7635665	seed_mix	Yes	No	No	Yes	Below_median	Above_median	0.686229628085552
GF256	23	WESTMEAD_FARM	Q1	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	0.72804330208619
GF257	NA	WESTMEAD_FARM	Q4	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	0.671390977247079
GF258	NA	WESTMEAD_FARM	Q7	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	0.746529673776822
GF259	NA	WESTMEAD_FARM	Q10	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	0.769562860671063
GF260	NA	WESTMEAD_FARM	Q13	2000	21	SU6317525168	51.022422, -1.1006408	seed_mix	Yes	No	Yes	No	Below_median	Above_median	0.665087343968314
GF261	24	RSPB_orig_green	Q1	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	0.497757892587259
GF262	NA	RSPB_orig_green	Q4	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	0.621878982758902
GF263	NA	RSPB_orig_green	Q7	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	0.653442072452365
GF264	NA	RSPB_orig_green	Q10	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	0.739052753778482
GF265	NA	RSPB_orig_green	Q13	2006	15	SU2135640329	51.161815, -1.6959767	Green_hay_bush	No	Yes	Yes	No	Above_median	Above_median	0.882159914588114
GF266	25	RSPB_churchil	Q1	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.689067275065715
GF267	NA	RSPB_churchil	Q4	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.588902736859573
GF268	NA	RSPB_churchil	Q7	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.673344671638538
GF269	NA	RSPB_churchil	Q10	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.700854163209217
GF270	NA	RSPB_churchil	Q13	2010	11	SU2075340336	51.1619, -1.7045994	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.727600567358755
GF271	26	RSPB_junction	Q1	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.650589936930688
GF272	NA	RSPB_junction	Q4	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.696780402373036
GF273	NA	RSPB_junction	Q7	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.681866923142225
GF274	NA	RSPB_junction	Q10	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.664115205375647
GF275	NA	RSPB_junction	Q13	2007	14	SU2267739280	51.152332, -1.6771517	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.727067450090828
GF276	27	RSPB_Mainline	Q1	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.663113689739677
GF277	NA	RSPB_Mainline	Q4	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.576933511263708
GF278	NA	RSPB_Mainline	Q7	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.611888401078016
GF279	NA	RSPB_Mainline	Q10	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.568475240806938
GF280	NA	RSPB_Mainline	Q13	2016	5	SU2250539212	51.151728, -1.6796151	Green_hay_bush	No	No	Yes	No	Above_median	Below_median	0.71372618168566
GF281	28	Baltic_farm_1	Q1	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.771758272376364
GF282	NA	Baltic_farm_1	Q4	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.811285494527742
GF283	NA	Baltic_farm_1	Q7	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.574725866607038
GF284	NA	Baltic_farm_1	Q10	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.879921477562722
GF285	NA	Baltic_farm_1	Q13	2005	16	SU0459767825	51.40943, -1.9352946	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.850461486031243
GF286	29	Baltic_farm_2	Q1	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.638465724507082
GF287	NA	Baltic_farm_2	Q4	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.49534732670768
GF288	NA	Baltic_farm_2	Q7	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.794519956794963
GF289	NA	Baltic_farm_2	Q10	1998	23	SU0306867167	51.403524, -1.9572835	Green_hay_bush	Yes	Yes	Yes	No	Above_median	Above_median	0.447160711073861
GF291	30	WestEndFarm	Q1	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	0.372473119742087
GF292	NA	WestEndFarm	Q4	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	0.613651517409905
GF293	NA	WestEndFarm	Q7	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	0.608559943058429
GF294	NA	WestEndFarm	Q10	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	0.680458150788954
GF295	NA	WestEndFarm	Q13	2019	2	SU0297366901	51.401133, -1.9586514	Green_hay_bush	Yes	No	Yes	Yes	Above_median	Below_median	0.582356928837494
GF296	31	HorntonHouseFarm_1_parallel	Q1	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.702426356031444
GF297	NA	HorntonHouseFarm_1_parallel	Q4	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.542806106088411
GF298	NA	HorntonHouseFarm_1_parallel	Q7	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.757172064100872
GF299	NA	HorntonHouseFarm_1_parallel	Q10	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.731740038043246
GF300	NA	HorntonHouseFarm_1_parallel	Q13	2016	5	SU0584565118	51.385079, -1.917395	seed_mix	Yes	Yes	Yes	No	Above_median	Below_median	0.713845061648181
GF301	32	TownsendFarm_1	Q1	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.725848554529069
GF302	NA	TownsendFarm_1	Q4	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.584137866037034
GF303	NA	TownsendFarm_1	Q7	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.667872961276993
GF304	NA	TownsendFarm_1	Q10	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.572800868484021
GF305	NA	TownsendFarm_1	Q13	2017	4	SU0775065316	51.386837, -1.8900159	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.700710649308141
GF306	33	TownsendFarm_2	Q1	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.747418561656875
GF307	NA	TownsendFarm_2	Q4	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.818837557736839
GF308	NA	TownsendFarm_2	Q7	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.753937090203885
GF309	NA	TownsendFarm_2	Q10	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.711113450847881
GF310	NA	TownsendFarm_2	Q13	2010	11	SU0705164722	51.381505, -1.9000725	seed_mix	Yes	No	Yes	No	Above_median	Below_median	0.516888531072611
